電力会社ID,電力会社名,電力会社英名,プランID,プラン名,プラン説明,プラン変更方法,カスタマーセンターURL,実施日,新規加入終了日,基本料金タイプID,基本料金タイプ,基本料金単価,一段階基本料金,一段階と二段階間の契約容量（kVA）,二段階基本料金,二段階と三段階間の契約容量（kVA）,三段階基本料金,最低料金,電力量閾値(kWh),電力量料金タイプID,電力量料金タイプ,電力量単価（一段階）,一段階と二段階間の閾値電力量（kWh）,電力量単価（二段階）,二段階と三段階間の閾値電力量（kWh）,電力量単価（三段階）,デイタイム開始時間,デイタイム終了時間,夜間単価,夜間開始時間,夜間終了時間,土日単価,朝夕単価,夏期ピーク単価,夏期ピーク開始日,夏期ピーク終了日,夏期ピーク開始時間,夏期ピーク終了時間,冬季開始日,冬季終了日,冬季昼間単価（一段階）,冬季昼間一段階と二段階間の閾値電力量（kWh）,冬季昼間単価（二段階）,冬季昼間二段階と三段階間の閾値電力量（kWh）,冬季昼間単価（三段階）,冬季ピーク単価,冬季ピーク開始時間,冬季ピーク終了時間
3,東北電力,tohoku,3,時間帯別電灯B（やりくりナイト10）,時間帯別電灯Aの夜間時間(8時間)を前後1時間ずつ拡大し、夜間時間を10時間としたメニューです。時間帯別電灯Aと同様に昼間時間から夜間時間に電気の利用時間を移行することで、電気料金の節約が可能です。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,https://www.tohoku-epco.co.jp/callcenter/,2015/6/1,,2,三段階型,,1404,6,1944,10,324,330.48,,2,昼三段階型,23.57,80,32.15,200,37.16,,,11.22,22,8,,,,,,,,,,,,,,,,,
3,東北電力,tohoku,4,時間帯別電灯S（やりくりナイトS）,昼間時間に電気使用量が比較的少ない方向けのメニューです。基本使用料金で昼間時間の200kWhまで使用できます。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,https://www.tohoku-epco.co.jp/callcenter/,2015/6/1,,2,三段階型,,6264,6,6804,10,324,,,8,昼二段階型,0,200,39.29,,,,,11.22,22,8,,,,,,,,,,,,,,,,,
3,東北電力,tohoku,5,ピークシフト季節別時間帯別電灯,夏季の電力需要のピーク時(毎日午後1時～午後4時)に対応する「ピーク時間」と、それ以外の「昼間時間」「夜間時間」ごとに料金単価を設定しております。「ピーク時間」の電気の使用量を減らすことや「昼間時間」から「夜間時間」、または「ピーク時間」から「昼間時間」および「夜間時間」へ電気の使用量を移行することで、電気料金を節約できる料金メニューです。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,https://www.tohoku-epco.co.jp/callcenter/,2015/6/1,,2,三段階型,,1404,6,1944,10,324,,,9,夏季ピーク昼三段階型,19.73,90,26.91,230,36.71,,,10.92,23,7,,,53.83,7/1,9/30,13,16,,,,,,,,,,
4,北陸電力,rikuden,1,従量電灯BC,昼間の在宅が多い家庭や時間帯や曜日を気にせずに電気を使いたい方におススメのスタンダードなメニューです。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.rikuden.co.jp/tetsuzuki/index.html,2014/6/1,,1,単価型,237.6,,,,,,177.76,,1,従量電灯三段階型,17.48,120,21.29,300,22.98,,,,,,,,,,,,,,,,,,,,,,
4,北陸電力,rikuden,2,季節別時間帯別電灯I（エルフナイト１０）,電気料金が3分の1になる夜間の電力をうまく使った電化住宅にぴったりのメニューです。 電気使用量が多い家庭向きのメニューで、1kVA以上の夜間蓄熱式機器を利用していることが加入条件です。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.rikuden.co.jp/tetsuzuki/index.html,2014/6/1,,3,二段階型,,3024,10,302.4,,,,,5,夏季ピーク型,21.78,,,,,,,7.73,22,8,,,23.91,7/1,9/30,8,22,,,,,,,,,,
4,北陸電力,rikuden,3,季節別時間帯別電灯II（エルフナイト１０プラス）,電気料金が3分の1になる夜間の電力をうまく使った電化住宅にぴったりのメニューです。昼間の電気使用量が比較的少ない家庭向きのメニューで、1kVA以上の夜間蓄熱式機器を利用していることが加入条件です。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.rikuden.co.jp/tetsuzuki/index.html,2014/6/1,,2,三段階型,,1188,6,1620,10,237.6,,,10,夏季ピーク平日朝夕昼夜型,30.28,,,,,10,17,7.73,22,8,,21.11,33.26,7/1,9/30,10,17,,,,,,,,,,
4,北陸電力,rikuden,4,時間帯別電灯（エルフナイト８）,電気料金が3分の1になる夜間の電力をうまく使った電化住宅にぴったりのメニューです。夜間の電気使用量が多い家庭向きです。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.rikuden.co.jp/tetsuzuki/index.html,2014/6/1,,2,三段階型,,1188,6,1620,10,237.6,270.64,,2,昼三段階型,21.42,90,26.55,230,28.68,,,7.6,23,7,,,,,,,,,,,,,,,,,
5,中部電力,chuden,1,従量電灯BC,昼間の在宅が多い家庭や時間帯や曜日を気にせずに電気を使いたい方におススメのスタンダードなメニューです。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.chuden.co.jp/home/tetsuduki/contact/index.html,2014/5/1,,1,単価型,280.8,,,,,,253.8,,1,従量電灯三段階型,20.68,120,25.08,300,27.97,,,,,,,,,,,,,,,,,,,,,,
5,中部電力,chuden,2,Eライフプラン（3時間帯別電灯）,お得な夜間時間だけでなく、朝と夕方にもお得な時間帯を設けたメニューです。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.chuden.co.jp/home/tetsuduki/contact/index.html,2014/5/1,,2,三段階型,,1512,6,2160,10,280.8,348.84,,11,平日朝夕昼夜型,35.61,,,,,9,17,13.45,23,7,,25.43,,,,,,,,,,,,,,,
5,中部電力,chuden,3,タイムプラン（時間帯別電灯）,夜間時間に電気のご使用量が多い方向けのメニューです。昼間時間から夜間時間に電気の利用時間を移行することで、電気料金の節約が可能です。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.chuden.co.jp/home/tetsuduki/contact/index.html,2014/5/1,,2,三段階型,,1296,6,1944,10,280.8,348.84,,2,昼三段階型,24.16,90,29.32,230,32.4,,,13.45,23,7,,,,,,,,,,,,,,,,,
5,中部電力,chuden,4,ピークシフト電灯,1年を夏季とその他季に分け、さらに夏季の平日の1日をピークタイム、デイタイム、ナイトタイムの3つの時間帯に分けて、ピークタイム以外の時間帯の料金を割安に設定したメニューです。ピークタイムの電気利用を他の時間帯にシフトすることで電気料金を安く抑えることができます。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.chuden.co.jp/home/tetsuduki/contact/index.html,2014/5/1,,2,三段階型,,1296,6,1944,10,280.8,348.84,,12,夏季ピーク平日昼三段階型,23.67,90,28.73,230,31.74,,,13.45,23,7,,,54.46,7/1,9/30,13,16,,,,,,,,,,
6,関西電力,kepco,1,従量電灯A,家庭等で最も多く利用されているメニューです。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.kepco.co.jp/corporate/info/community/,2015/6/1,2015/9/30,4,最低料金型,,,,,,,360.12,15,13,従量電灯A三段階型,21.92,120,28.35,300,32.41,,,,,,,,,,,,,,,,,,,,,,
6,関西電力,kepco,2,従量電灯B,商店、事務所、飲食店、家庭等で電灯、小型機器を多く使っている方におすすめなメニューです。契約容量が6kVA以上の方が対象です。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.kepco.co.jp/corporate/info/community/,2015/6/1,2015/9/30,1,単価型,388.8,,,,,,,,1,従量電灯三段階型,19.56,120,23.84,300,27.42,,,,,,,,,,,,,,,,,,,,,,
6,関西電力,kepco,3,はぴeタイム,季節や時間帯によって電力量料金単価が異なるメニューです。割安な時間帯に電気の利用をシフトすることで、電気料金を削減することができます。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.kepco.co.jp/corporate/info/community/,2015/6/1,2015/9/30,3,二段階型,,2160,10,388.8,,,,,4,夏季ピーク朝夕昼夜型,26.41,,,,,10,17,12.19,23,7,,34.63,37.98,7/1,9/30,10,17,,,,,,,,,,
6,関西電力,kepco,4,時間帯別電灯,時間帯別に設定された料金によって、より電力需要の少ない時間帯への負荷移行を促進し、電力設備の効率的な使用等を目的としたメニューです。料金単価は通常より夜間は割安に、昼間は割高になります。そのため、夜間のご使用量の割合が高いほど、電気料金は安くなります。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.kepco.co.jp/corporate/info/community/,2015/6/1,2015/9/30,3,二段階型,,1188,10,388.8,,,,,2,昼三段階型,23.8,90,30.75,230,35.23,,,12.19,23,7,,,,,,,,,,,,,,,,,
6,関西電力,kepco,5,季時別電灯PS,夏のピーク時に対応するピーク時間と、それ以外のオフピーク時間、夜間時間に時間帯を区分し、ピーク時間からオフピーク時間および夜間時間へ電力使用を移行することで、電気料金を削減できるメニューです。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.kepco.co.jp/corporate/info/community/,2015/6/1,2015/9/30,3,二段階型,,1188,10,388.8,,,,,12,夏季ピーク平日昼三段階型,23,90,29.7,230,34.09,,,12.19,23,7,,,59.79,7/1,9/30,13,16,,,,,,,,,,
7,中国電力,energia,1,従量電灯A,「昼間は家にいることが多く，昼間に電気を使うことが多い」，「時間を気にせず電気を使いたい」という方におすすめです。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.energia.co.jp/office/index.html,2014/4/1,,4,最低料金型,,,,,,,330.26,15,13,従量電灯A三段階型,20.34,120,26.9,300,28.98,,,,,,,,,,,,,,,,,,,,,,
7,中国電力,energia,2,従量電灯B,商店、事務所、飲食店、家庭等で電灯、小型機器を多く使っている方におすすめなメニューです。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.energia.co.jp/office/index.html,2014/4/1,,1,単価型,399.6,,,,,,,,1,従量電灯三段階型,17.7,120,23.68,300,25.52,,,,,,,,,,,,,,,,,,,,,,
7,中国電力,energia,3,エコノミーナイト【時間帯別電灯】,「昼間は不在が多く夜間に電気を使うことが多い」 「電気の使用方法を工夫して電気料金を安くしたい」という方におすすめのメニューです。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.energia.co.jp/office/index.html,2014/4/1,,3,二段階型,,1188,10,399.6,,,,,2,昼三段階型,21.81,90,28.85,220,31.09,,,10.02,23,8,,,,,,,,,,,,,,,,,
7,中国電力,energia,4,ファミリータイム〔プランI〕,電化住宅にお住まいの方におすすめのメニューです。プランIIより基本料金は割高に、電力量料金は割安になっているので電気をたくさん利用する方におすすめです。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.energia.co.jp/office/index.html,2014/4/1,,3,二段階型,,2160,10,399.6,,,,,4,夏季ピーク朝夕昼夜型,24.33,,,,,10,17,10.02,23,8,,29.14,33.86,7/1,9/30,10,17,,,,,,,,,,
7,中国電力,energia,5,ファミリータイム〔プランII〕,電化住宅にお住まいの方におすすめのメニューです。プランIより基本料金は割安に、電力量料金は割高になっているので電気使用量が少なめの方におすすめです。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.energia.co.jp/office/index.html,2014/4/1,,3,二段階型,,1188,10,399.6,,,,,4,夏季ピーク朝夕昼夜型,26.76,,,,,10,17,10.02,23,8,,32.1,37.14,7/1,9/30,10,17,,,,,,,,,,
7,中国電力,energia,6,電灯ピークシフトプラン,夏季の節電（特にピーク時間帯）を積極的に行う方におすすめなメニューです。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.energia.co.jp/office/index.html,2014/4/1,,3,二段階型,,1188,10,399.6,,,,,9,夏季ピーク昼三段階型,21.02,90,27.83,220,30,,,10.02,23,8,,,55.59,7/1,9/30,13,16,,,,,,,,,,
8,四国電力,yonden,1,従量電灯A,電灯または小型機器を使用し、最大需要容量が6kVA未満の方を対象としたメニューです。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.yonden.co.jp/corporate/b_esta/index.html,2014/4/1,,4,最低料金型,,,,,,,403.92,11,13,従量電灯A三段階型,20,120,26.5,300,29.95,,,,,,,,,,,,,,,,,,,,,,
8,四国電力,yonden,2,従量電灯B,電灯または小型機器を使用し、契約容量が6kVA以上であり、かつ原則として50kVA未満の方を対象とするメニューです。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.yonden.co.jp/corporate/b_esta/index.html,2014/4/1,,1,単価型,367.2,,,,,,,,1,従量電灯三段階型,16.66,120,22.09,300,24.96,,,,,,,,,,,,,,,,,,,,,,
8,四国電力,yonden,3,時間帯別電灯(得トクナイト),電気温水器をご使用の方や夜型ライフスタイルの方におすすめのメニューです。電気の使い方を工夫し、割安な夜間のご使用割合を高めていただくほど電気料金がおトクになります。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.yonden.co.jp/corporate/b_esta/index.html,2014/4/1,,3,二段階型,,1188,10,367.2,,,,,2,昼三段階型,21.98,90,29.13,230,32.92,,,11.04,23,7,,,,,,,,,,,,,,,,,
8,四国電力,yonden,4,ピークシフト型時間帯別電灯,夏季のピーク時間帯の料金単価を割高に、夜間の料金単価を割安に設定した料金メニューです。電気のご使用を、夏季のピーク時間帯から昼間や夜間に上手にシフトするなど、日々の電気の使い方を工夫することで、ピーク時の節電や電気料金の節約ができます。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.yonden.co.jp/corporate/b_esta/index.html,2014/4/1,,3,二段階型,,1188,10,367.2,,,,,9,夏季ピーク昼三段階型,21.06,90,27.91,230,31.54,,,11.04,23,7,,,55.81,7/1,9/30,13,16,,,,,,,,,,
8,四国電力,yonden,5,スマートｅプラン［タイプL］,1日を3つの時間帯（夜間・朝夕・昼間）に分けて料金単価を設定したメニューです。昼間時間と比べて、夜間時間と朝夕時間の料金単価がお得です。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.yonden.co.jp/corporate/b_esta/index.html,2015/4/1,,3,二段階型,,1188,10,367.2,,,,,14,朝夕昼三段階夜型,20.67,40,27.4,90,41.1,9,17,11.04,23,7,,27.26,,,,,,,,,,,,,,,
8,四国電力,yonden,6,スマートeプラン[タイプH],平日は3つの時間帯（夜間・朝夕・昼間）、休日は2つの時間帯（夜間・昼間）に分けて料金単価を設定したメニューです。平日の昼間に比べて夜間はかなりお得、休日の昼間と平日の朝夕の料金単価もお得です。 ,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.yonden.co.jp/corporate/b_esta/index.html,2015/4/1,,3,二段階型,,1188,10,367.2,,,,,15,夏季ピーク朝夕昼夜休日昼型,30.9,,,,,9,17,11.04,23,7,24.15,26.7,37.08,7/1,9/30,9,17,,,,,,,,,,
8,四国電力,yonden,7,季節別時間帯別電灯(電化Ｄｅナイト),電気料金を季節ごと時間帯ごとに設定したメニューです。昼間の電気料金は若干割高になりますが、夜間はおトクな料金です。電気の使い方を工夫し、割安な夜間の使用割合を高めるほど電気料金がおトクになります。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.yonden.co.jp/corporate/b_esta/index.html,2014/4/1,2015/3/31,3,二段階型,,1620,10,496.8,,,,,5,夏季ピーク型,26.64,,,,,,,11.04,23,7,,,31.97,7/1,9/30,7,23,,,,,,,,,,
9,九州電力,kyuden,1,従量電灯BC,昼間の在宅が多い家庭や時間帯や曜日を気にせずに電気を使いたい方におススメのスタンダードなメニューです。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.kyuden.co.jp/rate_reception_phone.html,2013/5/1,,1,単価型,291.6,,,,,,,,1,従量電灯三段階型,17.13,120,22.63,300,25.57,,,,,,,,,,,,,,,,,,,,,,
9,九州電力,kyuden,2,季時別電灯,電気料金単価が日中や夏季は割高、夜間は割安に設定されているため、電気の使用を日中から夜間に移すことにより電気料金が割安になるメニューです。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.kyuden.co.jp/rate_reception_phone.html,2013/5/1,,2,三段階型,,1188,6,1620,10,291.6,,,4,夏季ピーク朝夕昼夜型,30.35,,,,,10,17,10.29,22,8,,22.81,36.1,7/1,9/30,10,17,,,,,,,,,,
9,九州電力,kyuden,3,時間帯別電灯,昼間の料金単価を割高に、夜間を割安に設定したメニューです。電気の使用を昼間から夜間に移すことで、電気料金が割安になるメニューです。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.kyuden.co.jp/rate_reception_phone.html,2013/5/1,,2,三段階型,,1188,6,1620,10,291.6,,,2,昼三段階型,22.5,80,29.72,200,33.59,,,10.29,22,8,,,,,,,,,,,,,,,,,
